名前,学園,部活,年齢,誕生日,身長,HP,攻撃力,治癒力,命中値,会心値,安定値,CC強化力,会心ダメージ,射程距離,CC抵抗力,防御力,回避値,防御貫通値,コスト回復力
ヒヨリ,アリウス分校2年生,アリウススクワッド,16歳,1月8日,155cm,19566(★5Lv90),2958(★5Lv90),6869(★5Lv90),949,211,2171,100,200%,1000,100,18/103,188,0,700
ヒヨリ（水着）,アリウス分校2年生,アリウススクワッド,16歳,1月8日,155cm,23789(★5Lv90),5336(★5Lv90),5704(★5Lv90),907,201,1984,100,200%,750,100,19/109,198,0,700
フィーナ（ガイド）,百鬼夜行連合学院1年生,お祭り運営委員会,17歳,11月3日,165cm,18007(★5Lv90),4424(★5Lv90),6652(★5Lv90),498,255,1573,100,200%,1000,100,65/358,195,0,700
フウカ（正月）,ゲヘナ学園2年生,給食部,16歳,4月30日,159cm,21124(★5Lv90),3469(★5Lv90),7045(★5Lv90),703,270,1477,100,200%,1000,100,76/419,1101,0,700
フブキ（水着）,ヴァルキューレ警察学校1年生,生活安全局,15歳,10月21日,148cm,18205(★5Lv90),4216(★5Lv90),6582(★5Lv90),505,252,2272,100,200%,1000,100,65/362,197,0,700
フユ,ワイルドハント芸術学院2年生,特殊交易部,16歳,9月5日,173cm,26065(★5Lv90),3116(★5Lv90),4898(★5Lv90),108,216,916,100,200%,550,100,16/88,1010,0,700
ホシノ,アビドス高等学校3年生,対策委員会,17歳,1月2日,145cm,59722(★5Lv90),2433(★5Lv90),5802(★5Lv90),615,205,1948,100,200%,350,100,175/963,246,0,700
ホシノ（水着）,アビドス高等学校3年生,対策委員会,17歳,1月2日,145cm,38675(★5Lv90),2781(★5Lv90),6156(★5Lv90),717,271,1824,100,200%,450,100,123/676,164,0,700
ホシノ（臨戦）,アビドス高等学校3年生,対策委員会,17歳,1月2日,145cm,61115(★5Lv90),1694(★5Lv90),4538(★5Lv90),601,200,1992,100,200%,350,100,229/986,239,0,700
ホシノ（臨戦）,アビドス高等学校3年生,対策委員会,17歳,1月2日,145cm,20368(★5Lv90),4532(★5Lv90),5674(★5Lv90),601,200,1992,100,200%,350,100,29/164,179,0,700
マキ,ミレニアムサイエンススクール1年生,ヴェリタス,15歳,8月1日,149cm,24391(★5Lv90),3151(★5Lv90),5562(★5Lv90),98,245,1424,100,200%,750,100,81/447,196,0,700
マキ（キャンプ）,ミレニアムサイエンススクール1年生,ヴェリタス,15歳,8月1日,149cm,18077(★5Lv90),4407(★5Lv90),6627(★5Lv90),496,254,1578,100,200%,1000,100,65/359,196,0,700
マコト,ゲヘナ学園3年生,万魔殿,18歳,3月19日,169cm,17341(★5Lv90),4411(★5Lv90),6889(★5Lv90),529,264,2162,100,200%,1000,100,62/344,188,0,700
マシロ,トリニティ総合学園1年生,正義実現委員会,15歳,6月5日,155cm,25835(★5Lv90),3957(★5Lv90),6510(★5Lv90),900,200,2300,100,200%,1000,100,20/110,200,0,700
マシロ（水着）,トリニティ総合学園1年生,正義実現委員会,15歳,6月5日,155cm,18262(★5Lv90),4427(★5Lv90),7282(★5Lv90),1006,223,2024,100,200%,1000,100,17/96,176,0,700
マリー（体操服）,トリニティ総合学園1年生,シスターフッド,15歳,9月12日,151cm,32156(★5Lv90),1670(★5Lv90),9286(★5Lv90),109,218,904,100,200%,550,100,22/124,996,0,700
マリー（アイドル）,トリニティ総合学園1年生,シスターフッド,15歳,9月12日,151cm,32070(★5Lv90),2842(★5Lv90),9305(★5Lv90),109,219,904,100,200%,550,100,20/112,596,0,700
マリナ,レッドウィンター連邦学園2年生,レッドウィンター事務局,16歳,11月4日,166cm,55446(★5Lv90),2026(★5Lv90),6197(★5Lv90),109,218,1264,100,200%,350,100,27/148,1303,0,700
マリナ（チーパオ）,レッドウィンター連邦学園2年生,レッドウィンター事務局,16歳,11月4日,166cm,38512(★5Lv90),3738(★5Lv90),5981(★5Lv90),105,211,1320,100,200%,350,100,16/91,1018,0,700
ミカ,トリニティ総合学園3年生,ティーパーティー,17歳,5月8日,157cm,41733(★5Lv90),3446(★5Lv90),5749(★5Lv90),111,25,1376,100,200%,450,100,22/121,1417,0,700
ミカ（水着）,トリニティ総合学園3年生,ティーパーティー,17歳,5月8日,157cm,32961(★5Lv90),4389(★5Lv90),5820(★5Lv90),514,205,1360,100,200%,450,100,17/93,962,0,700
ミサキ,アリウス分校2年生,アリウススクワッド,16歳,1月13日,163cm,21009(★5Lv90),7643(★5Lv90),5707(★5Lv90),756,252,988,100,200%,850,100,19/109,198,0,700
ミサキ（水着）,アリウス分校2年生,アリウススクワッド,16歳,1月13日,163cm,17355(★5Lv90),4407(★5Lv90),6882(★5Lv90),792,264,1081,100,200%,1000,100,62/345,188,0,700
ミチル（ドレス）,百鬼夜行連合学院3年生,忍術研究部,17歳,2月22日,153cm,27030(★5Lv90),3400(★5Lv90),10352(★5Lv90),530,415,2157,100,200%,1000,100,97/538,187,0.0,700
ミドリ,ミレニアムサイエンススクール1年生,ゲーム開発部,15歳,12月8日,143cm,23678(★5Lv90),4384(★5Lv90),5731(★5Lv90),911,202,1972,100,200%,750,100,19/108,197,0,700
ミドリ（メイド）,ミレニアムサイエンススクール1年生,ゲーム開発部,15歳,12月8日,143cm,23900(★5Lv90),3113(★5Lv90),5678(★5Lv90),902,200,1992,100,200%,750,100,19/109,199,0,700
ミナ,山海経高級中学校2年生,玄龍門,16歳,9月9日,166cm,25659(★5Lv85),2077(★5Lv85),5715(★5Lv85),418,209,952,100,200%,550,100,16/89,762,0,700
ミネ,トリニティ総合学園3年生,救護騎士団,17歳,11月23日,168cm,55666(★5Lv90),2314(★5Lv90),6176(★5Lv90),654,218,1816,100,200%,350,100,163/898,218,0,700
ミノリ,レッドウィンター連邦学園3年生,工務部,17歳,7月14日,158cm,18219(★5Lv90),4213(★5Lv90),6578(★5Lv90),656,252,1592,100,200%,1000,100,65/362,791,0,700
ミモリ,百鬼夜行連合学院2年生,修行部,16歳,3月15日,156cm,30293(★5Lv90),1873(★5Lv90),5951(★5Lv90),105,210,948,100,200%,550,100,18/103,1043,0,700
ミモリ（水着）,百鬼夜行連合学院2年生,修行部,16歳,03月15日,156cm,25332 (★5Lv87),3402 (★5Lv87),6965 (★5Lv87),820,273,1040,100,200%,1000,100,94/518,997,0,700
ミヤコ,SRT特殊学園1年生,RABBIT小隊,15歳,1月7日,156cm,55812(★5Lv90),1807(★5Lv90),6162(★5Lv90),108,217,1272,100,200%,350,100,27/150,1312,0,700
ミヤコ（水着）,SRT特殊学園1年生,RABBIT小隊,15歳,1月7日,156cm,58671(★5Lv90),2133(★5Lv90),5899(★5Lv90),521,208,1340,100,200%,350,100,28/157,1264,0,700
ミユ,SRT特殊学園1年生,RABBIT小隊,15歳,7月12日,149cm,22682(★5Lv90),3680(★5Lv90),5967(★5Lv90),948,210,1888,100,200%,750,100,18/103,189,0,700
ミヨ,ワイルドハント芸術学院2年生,特殊交易部,16歳,8月24日,155cm,20261(★5Lv90),5440(★5Lv90),4752(★5Lv90),944,209,1900,100,200%,750,100,16/91,190,0,700
ムツキ（正月）,ゲヘナ学園2年生,便利屋68,16歳,7月29日,144cm,22793(★5Lv90),5181(★5Lv90),5939(★5Lv90),104,209,1328,100,200%,750,100,76/418,190,0,700
ムツキ（ドレス）,ゲヘナ学園2年生,便利屋68,16歳,7月29日,144cm,17158(★5Lv90),4621(★5Lv90),6951(★5Lv90),520,166,1500,100,200%,1000,100,62/341,186,0,700
メグ,ゲヘナ学園3年生,温泉開発部,17歳,4月25日,164cm,36448(★5Lv90),2401(★5Lv90),5913(★5Lv90),1044,261,1336,100,200%,450,100,127/680,191,0,700
メル,レッドウィンター連邦学園2年生,知識解放戦線,16歳,12月21日,137cm,28454(★5Lv87),5680(★5Lv87),5986(★5Lv87),108,270,916,100,200%,550,100,18/101,1011,0,700
モエ,SRT特殊学園1年生,RABBIT小隊,15歳,9月13日,163cm,19897(★5Lv87),2696(★5Lv87),6438(★5Lv87),404,202,1136,100,200%,1000,100,19/105,791,0,700
モエ（水着）,SRT特殊学園1年生,RABBIT小隊,15歳,9月13日,163cm,29337(★5Lv90),3255(★5Lv90),6119(★5Lv90),432,216,916,100,200%,550,100,18/101,735,0,700
モモイ（メイド）,ミレニアムサイエンススクール1年生,ゲーム開発部,15歳,12月8日,143cm,27333(★5Lv90),2937(★5Lv90),5717(★5Lv90),707,202,1384,100,200%,650,100,19/108,791,0,700
ヤクモ,レッドウィンター連邦学園3年生,出版部,17歳,5月18日,144cm,26790(★5Lv90),3426(★5Lv90),6955(★5Lv90),801,267,1067,100,200%,1000,100,97/533,1024,0,700
ユウカ（体操服）,ミレニアムサイエンススクール2年生,セミナー,16歳,3月14日,156cm,46750(★5Lv90),1983(★5Lv90),6119(★5Lv90),108,216,1284,100,200%,450,100,27/151,1323,0,700
ユウカ（パジャマ）,ミレニアムサイエンススクール2年生,セミナー,16歳,3月14日,156cm,48144(★5Lv90),2384(★5Lv90),4772(★5Lv90),105,210,1324,100,200%,450,100,170/936,227,0,700
ユカリ,百鬼夜行連合学院1年生,百花繚乱紛争調停委員会,15歳,6月16日,155cm,23137(★5Lv87),4431(★5Lv87),5570(★5Lv87),905,201,1988,100,200%,750,100,19/109,198,0,700
ユカリ（水着）,百鬼夜行連合学院1年生,百花繚乱紛争調停委員会,15歳,6月16日,155cm,23837(★5Lv90),3601(★5Lv90),5694(★5Lv90),905,201,1988,100,200%,750,100,19/109,198,0,700
ユズ,ミレニアムサイエンススクール1年生,ゲーム開発部,16歳,08月12日,150cm,26964(★5Lv90),4964(★5Lv90),5792(★5Lv90),102,191,976,100,240%,650,100,19/107,195,0,700
ユズ（臨戦）,ミレニアムサイエンススクール1年生,ゲーム開発部,16歳,08月12日,150cm,27357(★5Lv90),3362(★5Lv90),6828(★5Lv90),786,262,1090,100,200%,1000,100,99/544,190,0,700
ヨシミ（バンド）,トリニティ総合学園1年生,放課後スイーツ部,15歳,8月29日,146cm,27307(★5Lv90),3660(★5Lv90),5720(★5Lv90),707,252,1384,100,200%,650,100,19/108,791,0,700
リオ,ミレニアムサイエンススクール3年生,セミナー,17歳,6月6日,171cm,30119(★5Lv90),3056(★5Lv90),6202(★5Lv90),714,238,1201,100,200%,1000,100,109/599,1151,0,700
リオ（臨戦）,ミレニアムサイエンススクール3年生,セミナー,17歳,6月6日,171cm,36048(★5Lv90),2810(★5Lv90),5765(★5Lv90),101,203,980,100,200%,550,100,19/107,1079,0,700
リツ,ワイルドハント芸術学院1年生,特殊交易部,15歳,3月6日,140cm,27300(★5Lv90),3371(★5Lv90),6843(★5Lv90),683,262,1527,100,200%,1000,100,98/542,1138,0,700
ルミ,山海経高級中学校3年生,玄武商会,17歳,3月5日,168cm,39947(★5Lv90),1873(★5Lv90),8981(★5Lv90),528,211,1316,100,200%,450,100,23/129,1036,0,700
レイ,ミレニアムサイエンススクール1年生,野球部↓トレーニング部,15歳,8月9日,159cm,20874(★5Lv90),8705(★5Lv90),5746(★5Lv90),761,200,984,100,200%,850,100,19/108,196,0,700
レイサ,トリニティ総合学園1年生,トリニティ自警団,15歳,5月31日,153cm,55592(★5Lv90),2380(★5Lv90),6184(★5Lv90),655,218,1812,100,200%,350,100,163/897,217,0,700
レイサ（マジカル）,トリニティ総合学園1年生,トリニティ自警団,15歳,5月31日,153cm,26888(★5Lv90),3415(★5Lv90),10402(★5Lv90),532,266,2148,100,200%,1000,100,97/535,186,0,700
レイジョ,山海経高級中学校3年生,玄武商会,17歳,3月3日,169cm,26350(★5Lv90),4326(★5Lv90),5918(★5Lv90),731,209,1336,100,200%,650,100,19/104,763,0,700
レナ,ワイルドハント芸術学院1年生,オカルト研究会（第4寮404号室）,15歳,9月21日,152cm,30035(★5Lv90),2381(★5Lv90),5996(★5Lv90),105,211,940,100,200%,550,100,18/103,1034,0,700
レンゲ,百鬼夜行連合学院2年生,百花繚乱紛争調停委員会,16歳,7月23日,157cm,22994(★5Lv87),4206(★5Lv87),5603(★5Lv87),910,202,1976,100,200%,750,100,19/108,197,0,700
ワカモ,百鬼夜行連合学院（停学中）,無所属,18歳,4月3日,161cm,23740(★5Lv90),4866(★5Lv90),5717(★5Lv90),909,202,1976,100,200%,750,100,19/108,197,0,700
ワカモ（水着）,百鬼夜行連合学院 停学中,無所属,18歳,4月3日,161cm,23604(★5Lv90),5126(★5Lv90),5749(★5Lv90),914,203,1968,100,200%,750,100,19/108,196,0,700
御坂美琴,常盤台中学2年生,-,14歳,5月2日,161cm,25584(★5Lv87),3181(★5Lv87),5785(★5Lv87),731,208,1336,100,200%,650,100,19/104,764,0,700
初音ミク,その他,-,16歳,8月31日,158cm,18744(★5Lv90),2559(★5Lv90),7127(★5Lv90),109,218,1040,100,200%,1000,100,18/99,181,0,700
食蜂操祈,常盤台中学2年生,-,14歳,-,-,28133(★5Lv87),2886(★5Lv87),6043(★5Lv87),109,218,908,100,200%,550,100,18/97,999,0,700
アイリ,トリニティ総合学園1年生,放課後スイーツ部,15歳,1月30日,160cm,20769(★5Lv90),2329(★5Lv90),6490(★5Lv90),99,199,1615,100,200%,1000,100,20/107,1196,0,700
アカネ,ミレニアムサイエンススクール2年生,Cleaning&Clearing,16歳,4月1日,164cm,31358(★5Lv90),1368(★5Lv90),5763(★5Lv90),101,203,980,100,200%,550,100,19/107,1119,0,700
アカリ,ゲヘナ学園3年生,美食研究会,17歳,12月9日,167cm,27651(★5Lv90),3832(★5Lv90),5652(★5Lv90),698,199,1400,100,200%,650,100,20/110,798,0,700
アヤネ,アビドス高等学校1年生,対策委員会,15歳,11月12日,153cm,23589(★5Lv90),1676(★5Lv90),9520(★5Lv90),97,195,1178,100,200%,1000,100,25/140,1072,0,700
ウタハ,ミレニアムサイエンススクール3年生,エンジニア部,17歳,11月13日,162cm,21124(★5Lv90),3233(★5Lv90),6382(★5Lv90),98,245,1638,100,200%,1000,100,20/112,1176,0,700
カヨコ,ゲヘナ学園3年生,便利屋68,18歳,3月17日,157cm,32265(★5Lv90),1465(★5Lv90),5601(★5Lv90),98,197,1008,100,200%,550,100,20/111,1088,0,700
キリノ,ヴァルキューレ警察学校1年生,生活安全局,15歳,10月22日,161cm,28896(★5Lv90),1567(★5Lv90),6198(★5Lv90),109,219,904,100,200%,550,100,18/99,995,0,700
シズコ,百鬼夜行連合学院2年生,お祭り運営委員会,16歳,7月7日,153cm,39707(★5Lv90),2348(★5Lv90),6541(★5Lv90),602,200,2286,100,200%,1000,100,119/656,200,0,700
ジュンコ,ゲヘナ学園1年生,美食研究会,15歳,12月27日,149cm,27786(★5Lv90),3813(★5Lv90),5624(★5Lv90),695,198,1408,100,200%,650,100,20/110,794,0,700
セリカ,アビドス高等学校1年生,対策委員会,15歳,6月25日,153cm,26902(★5Lv90),3936(★5Lv90),5805(★5Lv90),717,256,1364,100,200%,650,100,19/106,820,0,700
チセ,百鬼夜行連合学院2年生,陰陽部,16歳,7月13日,159cm,27688(★5Lv90),3088(★5Lv90),5645(★5Lv90),99,249,1000,100,200%,650,100,20/110,199,0,700
ツバキ,百鬼夜行連合学院2年生,修行部,16歳,2月3日,162cm,62240(★5Lv90),2392(★5Lv90),5570(★5Lv90),98,196,1420,100,200%,350,100,30/167,1416,0,700
ノノミ,アビドス高等学校2年生,対策委員会,16歳,9月1日,160cm,24133(★5Lv90),3660(★5Lv90),5623(★5Lv90),99,198,1408,100,200%,750,100,80/442,198,0,700
ハスミ,トリニティ総合学園3年生,正義実現委員会,17歳,12月12日,179cm,24047(★5Lv90),4766(★5Lv90),5642(★5Lv90),897,199,2004,100,200%,750,100,20/110,199,0,700
ハナエ,トリニティ総合学園1年生,救護騎士団,15歳,5月12日,150cm,23589(★5Lv90),2260(★5Lv90),9520(★5Lv90),682,195,1647,100,200%,1000,100,25/140,780,0,700
ハナコ,トリニティ総合学園2年生,補習授業部,16歳,1月3日,161cm,23306(★5Lv90),2289(★5Lv90),9642(★5Lv90),691,197,1628,100,200%,1000,100,25/138,809,0,700
ハレ,ミレニアムサイエンススクール2年生,ヴェリタス,16歳,4月19日,153cm,20287(★5Lv90),2681(★5Lv90),6642(★5Lv90),714,204,1573,100,200%,1000,100,19/107,816,0,700
フウカ,ゲヘナ学園2年生,給食部,16歳,4月30日,159cm,23447(★5Lv90),2023(★5Lv90),9582(★5Lv90),98,196,1638,100,200%,1000,100,25/139,1177,0,700
マリー,トリニティ総合学園1年生,シスターフッド,15歳,9月12日,151cm,19608(★5Lv90),2049(★5Lv90),6856(★5Lv90),105,210,1086,100,200%,1000,100,18/103,1041,0,700
ムツキ,ゲヘナ学園2年生,便利屋68,16歳,7月29日,144cm,24084(★5Lv90),2643(★5Lv90),5635(★5Lv90),99,199,1404,100,200%,750,100,80/441,199,0,700
モミジ,レッドウィンター連邦学園1年生,知識解放戦線,15歳,8月7日,135cm,20911(★5Lv90),12592(★5Lv90),5734(★5Lv90),759,202,984,100,200%,850,100,19/108,197,0,700
モモイ,ミレニアムサイエンススクール1年生,ゲーム開発部,15歳,12月8日,143cm,28350(★5Lv90),2946(★5Lv90),5507(★5Lv90),681,194,1436,100,200%,650,100,20/113,821,0,700
ユウカ,ミレニアムサイエンススクール2年生,セミナー,16歳,3月14日,156cm,61214(★5Lv90),1508(★5Lv90),5663(★5Lv90),100,200,1396,100,200%,350,100,29/164,1440,0,700
レンゲ（水着）,百鬼夜行連合学院2年生,百花繚乱紛争調停委員会,16歳,7月23日,157cm,23690(★5Lv90),4252(★5Lv90),5727(★5Lv90),910,202,1976,100,200%,750,100,19/108,197,0,700
アイリ（バンド）,トリニティ総合学園1年生,放課後スイーツ部,15歳,1月30日,160cm,41709(★5Lv90),3980(★5Lv90),5753(★5Lv90),111,254,1376,100,200%,450,100,22/121,1062,0,700
アオバ,ハイランダー鉄道学園2年生,貨物輸送管理部,16歳,7月19日,151cm,52856(★5Lv90),4239(★5Lv90),5149(★5Lv90),682,227,1724,100,200%,350,100,155/853,207,0,700
アスナ,ミレニアムサイエンススクール3年生,Cleaning&Clearing,17歳,3月24日,167cm,28338(★5Lv90),3702(★5Lv90),5510(★5Lv90),681,243,1436,100,200%,650,100,20/113,778,0,700
アツコ（水着）,アリウス分校1年生,アリウススクワッド,15歳,1月20日,158cm,26451(★5Lv90),3464(★5Lv90),10550(★5Lv90),702,270,1477,100,200%,1000,100,95/526,1103,0,700
アヤネ（水着）,アビドス高等学校1年生,対策委員会,15歳,11月12日,153cm,19778(★5Lv90),4020(★5Lv90),6801(★5Lv90),940,261,2194,100,200%,1000,100,19/104,191,0,700
イズミ（水着）,ゲヘナ学園2年生,美食研究会,16歳,5月11日,161cm,23026(★5Lv90),3236(★5Lv90),5886(★5Lv90),103,207,1344,100,200%,750,100,76/421,192,0,700
イチカ（水着）,トリニティ総合学園2年生,正義実現委員会,16歳,11月11日,163cm,28066(★5Lv90),3284(★5Lv90),6668(★5Lv90),665,256,1569,100,200%,1000,100,101/558,780,0,700
イブキ,ゲヘナ学園1年生,万魔殿,11歳,4月14日,128cm,26118(★5Lv90),3282(★5Lv90),5967(★5Lv90),737,210,1324,100,200%,650,100,18/103,756,0,700
オトギ,SRT特殊学園3年生,FOX小隊,17歳,5月20日,150cm,23801(★5Lv90),6211(★5Lv90),5701(★5Lv90),906,251,1984,100,200%,750,100,19/109,198,0,700
カリン（制服）,ミレニアムサイエンススクール2年生,Cleaning&Clearing,16歳,2月2日,170cm,17964(★5Lv90),4434(★5Lv90),6668(★5Lv90),384,256,2240,100,200%,1000,100,65/357,195,0,700
キリノ（水着）,ヴァルキューレ警察学校1年生,生活安全局,15歳,10月22日,161cm,26450(★5Lv90),3466(★5Lv90),7036(★5Lv90),810,270,1053,100,200%,1000,100,95/526,1011,0,700
コタマ,ミレニアムサイエンススクール3年生,ヴェリタス,17歳,1月5日,158cm,20684(★5Lv90),1951(★5Lv90),6520(★5Lv90),100,200,1145,100,200%,1000,100,19/109,1101,0,700
コトリ,ミレニアムサイエンススクール1年生,エンジニア部,15歳,12月31日,151cm,24109(★5Lv90),2594(★5Lv90),5629(★5Lv90),99,198,1404,100,200%,750,100,80/441,198,0,700
コハル（水着）,トリニティ総合学園1年生,補習授業部,15歳,4月16日,148cm,22645(★5Lv90),3991(★5Lv90),5974(★5Lv90),950,211,1888,100,200%,750,100,18/103,188,0,700
シズコ（水着）,百鬼夜行連合学院2年生,お祭り運営委員会,16歳,7月7日,153cm,(★5Lv90),(★5Lv90),(★5Lv90),653,217,2093,100,200%,1000,100,109/600,182,0,700
シミコ,トリニティ総合学園1年生,図書委員会,15歳,11月30日,157cm,20358(★5Lv90),2673(★5Lv90),6621(★5Lv90),712,203,1578,100,200%,1000,100,19/107,813,0,700
ジュリ,ゲヘナ学園1年生,給食部,15歳,10月20日,170cm,20387(★5Lv90),2370(★5Lv90),6610(★5Lv90),609,203,2263,100,200%,1000,100,118/648,203,0,700
ジュンコ（正月）,ゲヘナ学園1年生,美食研究会,15歳,12月27日,149cm,27050(★5Lv90),4185(★5Lv90),5775(★5Lv90),714,204,1368,100,200%,650,100,19/107,783,0,700
スズミ,トリニティ総合学園2年生,トリニティ自警団,16歳,8月31日,162cm,27995(★5Lv90),2680(★5Lv90),5581(★5Lv90),690,197,1416,100,200%,650,100,20/111,788,0,700
セリナ,トリニティ総合学園2年生,救護騎士団,16歳,1月6日,156cm,22852(★5Lv90),2334(★5Lv90),9831(★5Lv90),704,201,1596,100,200%,1000,100,24/135,805,0,700
チナツ,ゲヘナ学園1年生,風紀委員会,15歳,8月22日,159cm,23164(★5Lv90),1706(★5Lv90),9702(★5Lv90),99,198,1155,100,200%,1000,100,25/137,1093,0,700
ツルギ（水着）,トリニティ総合学園3年生,正義実現委員会,17歳,6月24日,162cm,43018(★5Lv90),4803(★5Lv90),5577(★5Lv90),650,246,2028,100,200%,450,100,136/752,182,0,700
トキ（臨戦）,ミレニアムサイエンススクール1年生,Cleaning&Clearing,16歳,8月16日,165cm,32475(★5Lv90),2996(★5Lv90),9208(★5Lv90),108,216,912,100,200%,550,100,22/125,704,0,700
トモエ,レッドウィンター連邦学園3年生,レッドウィンター事務局,17歳,11月10日,165cm,22793(★5Lv90),3628(★5Lv90),5938(★5Lv90),944,209,1900,100,200%,750,100,19/104,190,0,700
ノドカ,レッドウィンター連邦学園2年生,227号特別クラス,16歳,2月20日,147cm,20967(★5Lv90),2306(★5Lv90),6428(★5Lv90),98,197,1628,100,200%,1000,100,20/90,1215,0,700
ハスミ（体操服）,トリニティ総合学園3年生,正義実現委員会,17歳,12月12日,179cm,20898(★5Lv90),4251(★5Lv90),5737(★5Lv90),912,202,1972,100,200%,850,100,19/108,197,0,700
ハルカ,ゲヘナ学園1年生,便利屋68,15歳,5月13日,157cm,61959(★5Lv90),1619(★5Lv90),5596(★5Lv90),593,197,2020,100,200%,350,100,182 /816(Lv70) /1000(Lv90),237,0,700
ヒビキ（応援団）,ミレニアムサイエンススクール1年生,エンジニア部,15歳,4月2日,154cm,20024(★5Lv90),9173(★5Lv90),5973(★5Lv90),105,263,944,100,200%,850,100,75/415,188,0,700
フィーナ,百鬼夜行連合学院1年生,お祭り運営委員会,17歳,11月3日,165cm,24576(★5Lv90),3530(★5Lv90),5519(★5Lv90),97,243,1432,100,200%,750,100,81/437,195,0,700
フブキ,ヴァルキューレ警察学校1年生,生活安全局,15歳,10月21日,148cm,23765(★5Lv90),3445(★5Lv90),5711(★5Lv90),908,252,1980,100,200%,750,100,19/108,198,0,700
ミチル,百鬼夜行連合学院3年生,忍術研究部,17歳,2月22日,153cm,37709(★5Lv90),3848(★5Lv90),5727(★5Lv90),607,202,1976,100,200%,450,100,118/651,197,0,700
ミネ（アイドル）,トリニティ総合学園3年生,救護騎士団,17歳,11月23日,168cm,50840(★5Lv90),3240(★5Lv90),5298(★5Lv90),702,234,1656,100,200%,350,100,149/821,199,0,700
ミユ（水着）,SRT特殊学園1年生,RABBIT小隊,15歳,7月12日,149cm,28491(★5Lv90),3238(★5Lv90),6574(★5Lv90),504,252,2277,100,200%,1000,100,103/566,198,0,700
ユズ（メイド）,ミレニアムサイエンススクール1年生,ゲーム開発部,16歳,08月12日,150cm,27499(★5Lv90),3348(★5Lv90),6798(★5Lv90),783,261,1095,100,200%,1000,100,99/547,191,0,700
ヨシミ,トリニティ総合学園1年生,放課後スイーツ部,15歳,8月29日,146cm,20542(★5Lv90),3740(★5Lv90),6561(★5Lv90),705,201,1596,100,200%,1000,100,19/109,806,0,700
ラブ,トリニティ総合学園 中退,無し,16歳,5月6日,161cm,37170(★5Lv90),2747(★5Lv90),6357(★5Lv90),741,280,1752,100,200%,450,100,118/650,157,0,700
佐天涙子,柵川中学1年生,-,12歳,-,160cm,28349(★5Lv90),3253(★5Lv90),6604(★5Lv90),659,253,1582,100,200%,1500,100,102/563,1182,0,700
